text	subject_id
state report guide sjteach this teacher created website ha a multitude of idea for student created project about the u state created by a 5th grade teacher	0
sunken treasure ahoy matey it time to get your hand wet student will use addition measurement graphing and counting to recover the lost treasure the journey start now mathematical domain operation and algebraic thinking number and operation in base ten measurement and data geometry standard grade level 1-3 1 oa a 1 1 oa a 2 1 oa b 3 1 oa c 5 1 oa d 7 1 nbt a 1 1 nbt b 2 1 md b 3 1 md c 4 1 g a 1 1 g a 3 2 oa a 1 2 oa c 3 2 nbt a 1 2 nbt a 1 a 2 nbt a 1 b 2 nbt a 2 2 nbt b 5 2 nbt b 6 2 nbt b 8 2 nbt b 9 2 md a 3 2 md c 7 2 md d 10 3 oa a 1 3 oa b 5 3 nbt a 3 3 md a 1 topic shape circle square triangle time measurement distance weight money bar graph graph duration distributive property addition modeling addition counting property scale skip counting line graph subtraction area perimeter number line grade level s first second third duration 2-3 day resource lesson plan individual powerpoint presentation pdf activity	0
state podcast project student can use this graphic organizer to conduct their research for their state pod cast	0
8 ee 1 grade 8 exponent property magic square student simplify expression using exponent property student match simplified expression to solution to create a 4 x 4 square	0
macbeth unit the unit includes complete reading guide introduction to shakespeare quiz paradox explanation iambic pentameter source vocabulary essay prompt and a final test	0
zondle cell and organelle review game zondle is a game based learning platform the topic for this particular game is cell and organelle but there are many others on zondle student sign in using their device via the free zondle app or can log in from any internet connected computer student choose the topic you want them to review and then play game for point a they get the question correct zondle support a multitude of question type and there is plenty of variety in the game there is something for every student from grade school to high school for student that do not have access to technology zondle even offer you the opportunity to print out the question zondle is very user friendly and intuitive and they have an amazing customer support system	0
1st person point of view video this brief video introduces student to the trait related to 1st person point of view a good resource for traditional flipped or blended classroom this resource can be used to introduce student to standards-based multimedia content in literature via technology	0
independent book project grade 10 regular and advanced advanced prompt taken from ap 11 language course prompt editable	0
nurture curiosity in your classroom teacher should stay curious and share that curiosity with student this video showcase teacher using strategy to tap into what interest them while at the same time maintaining neutrality to encourage all student to participate in class by asking question such a why do you think that enlisting the classroom and showing appreciation teacher model curiosity and engage all learner	0
fall back to school with matisse landscape included in this lesson is a full experience involving learning about matisse and then experimenting with color using acrylic paint a the medium for creating art in this lesson we will be exploring fauvism an art movement started when matisse wa called a fauve wild beast due to his use of bright color when painting beginning this editable powerpoint lesson are a series of slide with visual image to introduce student to the artwork of matisse it will give student an appreciation of his use of color and the courage he needed to create art that wa unique anything that had been done before in our time we take these kind of image for granted it will be valuable to study a few of his included work of art understand the culture of that time and to understand matisse a a person to gain a solid appreciation for his contribution to visual art following the mini-lesson about henri matisse is an editable powerpoint lesson guiding you and your class step by step through the process of painting with bright and uncommon color like matisse each step is written into a slide followed by a second slide with a visual image of what that step look like when completed in other season colour it can be adapted to work just a well student will gain a greater understanding of composing a picture and how to use perspective to create thing that look both close and far away this lesson is adaptable from grade 1-6 student will vary by age and ability in their fine motor skill larger paper is better suited to grade 1 and 2 student and older student could work on 8x 1 0 paper or larger if you prefer fall back to school with matisse this beautiful fall tree project is inspired by henri matisse and the many window-view painting he created this art lesson includes an art history art appreciation lesson about henri matisse and his lifetime of artistic achievement this is a step by step art lesson using acrylic paint to achieve a stunning art piece full of texture and color a series of slide guide you through each step also providing a visual image for each step along the way keywords back to school fall art fine art tree visual art matisse paint landscape art history guided art lesson autumn art appreciation landscape	1
animal farm pre-reading animal trait and human characteristic this worksheet is a per-reading activity for student to complete before reading animal farm the worksheet ha student perdict which social role different animal might fulfill in the novel and describe their reason behind their perdiction i have student complete the handout individually and then discus their choice with a partner or in small group i then lead a discussion about their perdictions a an extension you could have student post their perdictions to your edmodo group then a student read animal farm they can reply to their original post either confirming their perdiction with textual support or providing the correct social role for each animal with textual support	0
halloween webhunt a halloween web hunt for 4-8 grade student	1
a real life gatsby in f scott fitzgerald s 1925 novel the great gatsby james jimmy gatz becomes jay gatsby gatsby creates a false identity for himself to enter the world of wealth and power that his beloved daisy buchanan life in the novel explores this world of excess and what it take for gatsby to truly enter it this premise of false identity ha moved from fiction to reality listen to learn about a real life gatsby who called himself clark rockefeller about this resource this resource feature a real world public radio story listening comprehension question and classroom discussion theme about listen current listen current make it easy to bring authentic voice and compelling non-fiction story to the classroom we curate the best of public radio to keep teaching connected to the real world and build student listening skill at the same time for more information and teaching idea	0
math website for the elementary classroom this site will provide you with ten quality website to use for your student during center instructional time or to send home for additional help compiled by raki rad resource	0
ap government 2015 preview this video is a trailer for my ap government class in 2015 feel free to share it with your student visit my youtube page for more video my website ha great resource for history and government class	0
comparing art style medium subject and form same kind of different in this lesson student will compare the work of pablo picasso and norman rockwell based on the art medium art subject art form and art style student will create a cubist drawing from a norman rockwell painting oklahoma pas content standard 2 student will identify visual element of art term of shape and color 4 student will synthesize the creative and analytical principal theme and technique of visual art and other discipline 1 student will create two dimensional work of art from observation 3 student will develop and apply skill and technique in drawing 2 student will demonstrate respect for their work and the work of others through self and peer evaluation 3 student will demonstrate thoughtfulness and care in completion of artwork essential question how doe art vary engage student will compare and contrast two piece of music to determine a need for discipline-specific vocabulary explore student will compare or contrast work by pablo picasso and norman rockwell to gain an understanding of how art can be different explain student will create a venn diagram using the art term learned to better explain the similarity and difference found in the art extend or expand student will use abstraction rearrangement and exaggeration to convert a norman rockwell painting to a cubist painting using the technique practiced evaluate student will use a rubric to evaluate their own painting	0
hyperbole figurative language powerpoint example and practice powerpoint presentation for student to learn 7 common hyperbole	0
be plus place the verb be one point grammar lesson 1 4 3 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
move the quadratic exploring transformation of the parent quadratic update i have corrected typo added number of unit and direction to the solution slide for transformation and made the final challenge problem a little easier instead of using fraction since this is intended to be an introduction to the transformation and vertex form concept this presentation includes warm-up for moving the monster related to the move the monster presentation go over reflection first then introduces axis of symmetry vertex and x-intercept and y-intercept since those are more interesting to look at than domain and range then it move through h and k transformation vertical and horizontal translation and introduces the vertex form there are a couple of slide that say pick a number between 10 and 10 for h and k and then graph the new equation to get the student involved in creating the equation and graphing finally it go through stretch and compression and the full vertex form of the equation including a h and k the presentation end with three problem at the end for writing the vertex form from word the last problem is school and rival specific so you should edit that to be your school and rival instead for each transformation there are three slide the first is just the parent function the second is the parent function the new transformed function in a different color and the coordinate the third is the full solution filled in with vertex axis x-intercept y-intercept to create a student powerpoint delete the solution slide or just download the student powerpoint also available on tot	0
homeostasis power point this power point cover why it is important for the body to maintain homeostasis a chart is included which show what happens when there is too much or too little of a component such a body fat electrolyte or vitamin there are some real picture and diagram both positive and negative feedback mechanism are covered this lesson can be used in all state i live in texas where homeostasis is covered by biology tek 11a	0
physical science vocabulary word wall the physical science vocabulary word are broken down by unit on the very first page and then written in attractive but legible font in large print one or two to a page often the font give clue to the meaning of the word for example oxidizing is written in a rusty font they are intended to be printed out on colored card stock for a word wall while you do not have to i have found it really helpful to laminate them and put magnet tape on the back and stick them to my magnetic dry erase board they are changed out every unit and the kid love seeing what new word we have for the week these word are written for an 8th grade class but would be appropriate for any middle school class that cover physical science in their curriculum	0
negative statement with there is and there are there is or there are and pronoun one point grammar lesson 1 6 3 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
booknotes for jane eyre about studymode studymode is the world largest learning community for student we we are founded in 1999 on the idea that learning is mean to be social we have built a platform for student to find to create and to share over 100m flashcard and 2m research document on common school subject studymode book note maybe you missed a class or maybe you just can not quite comprehend stream of consciousness style either way studymode com ha you covered when it come to free book note on the most widely read book in high school and college curriculum jane eyre book note provide professionally written book summary including character plot summary analysis of major theme and a discussion of important theme and symbol you will also find quiz discussion question and suggested reading list to enhance your understanding of the material	0
adverb clause of manner adverb clause one point grammar lesson 3 6 4 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
woven placemat craft direction woven placemat craft direction	1
informational or explanatory writing outline with student sample outline and essay common core student and teacher can use this 3-page document to understand the component of informational or explanatory writing after student read a text they may use the outline on page 1 to plan out their multi-paragraph essay teacher may also choose to share the student sample outline on page 2 and the student sample essay on page 3 to guide student in their writing using a strong thesis statement sound reasoning with evidence and statistic from the text and a well-summarized conclusion happy writing	0
2 point pete part 2 the follow-up to our lesson 2 point pete if you liked him you will love this one a well mathematical domain measurement and data geometry standard grade level 6 7 8 9 10 11 12 6 g a 1 6 g a 3 8 g a 2 8 g a 3 8 g b 7 8 g b 8 hsa rei c 7 hsa rei d 10 hsa ced a 1 topic coordinate geometry area perimeter pythagorean theorem transformation grade level s sixth seventh eighth ninth tenth eleventh twelfth duration approximately 1 to 2 hour resource lesson plan individual powerpoint presentation pdf activity	0
newsela newsela is an innovative way to build reading comprehension with nonfiction that is always relevant daily news it is easy and amazing register now to see the impact newsela can have on your classroom every article at 5 level newsela make it easy for an entire class to read the same content but at a level that just right for each student common core-aligned keep student engaged with quiz that test critical thinking and close reading high-interest topic news is nonfiction with an edge from astronomy to zoology there something for every student taste and every teacher subject area assign article automatically assign article to student see who read the story passed the quiz and took note all in a single screen track progress the teacher and administrator binder record student result and display reading-level achievement in a crystal-clear visual format drill down to see result by specific common core standard	0
simple tool help you build book in minute find favorite new book and author find new friend from across the globe and discover their story too see storybird used in creative new way every day	0
ultimate basketball multiplication 12x basketball team in the ultimate sport multiplcation series student use real data from their favorite sport and player to practice time table	0
preparing for the admission process initial college list sgtgi preparing for the admission process is full of helpful insight creative strategy and much more to help you prepare yourself to effectively tackle the college application process without the stress that come from not knowing what to do or starting too late	0
multi-step word problem lesson 3 this video explains how to solve a multi-step word problem	0
degree and focusing adverbial adverb and adverbial one point grammar lesson 3 5 3 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
combating ebola slideshow and critical thinking activity this sideshow talk about the ebola virus and the different way that is can be combated the idea is to get the student to come up with and justify a strategy to combat the spread of ebola student are to work in group to research and come up with a preventative package that can be used to tackle the outbreak it cover why antibiotic are ineffective for an outbreak of a virus the moral issue of quarantine the importance of hygiene a well a the importance of vaccination and the ethical implication of testing it is effectiveness it will generate significant conversation between group around the value of life and the different standpoint between individual when an epidemic present a threat younger student objective the lesson objective are to reinforce the core concept of infection and disease prevention older student objective the lesson deeper objective is to get student to consider the moral issue around dealing with epidemic on a socio-economic level and also to consider the moral issue of creating and testing a vaccine for such a dangerous disease i used this sideshow several time with age 11-15 and also with my 17 and 18-year-old advanced biologist possible ng standard addressed ets 1 b developing possible solution when evaluating solution it is important to take into account a range of constraint including cost safety reliability and aesthetic and to consider social cultural and environmental impact secondary to hs-ls 4 -6	0
early childhood literary element activity worksheet this book contains ten different worksheet intended for work with literacy at the early childhood level each page is intended to give your student a chance to respond to a story in some way whether it ha to do with the plot the setting the character the problem the solution or the main idea layout and feature of the page are age-appropriate for student who need scaffolding for their emerging printing and writing content include literary element web plot diagram setting quick write and draw problem and solution organizer character quick write and draw the best part wa book cover the main idea reading reflection story retelling organizer if you enjoy this product please be sure to check out my other graphic organizer and reading response resource available at my store	0
real world rsvp edmodocon 2015 after starting her career a an event and wedding coordinator laura murphy soon realized that she d much rather be planning lesson and molding inquisitive mind following her passion murphy obtained a master s degree in education from the college of charleston and now work to instill a lifelong love of learning in her student when she s not teaching murphy love to explore the area surrounding historic charleston visit her hometown of lexington dine with friend and family and discover new classroom idea on pinterest currently an english teacher at charles pinckney elementary in mount pleasant murphy session real world rsvp inviting guest speaker to inspire student will demonstrate how she rewrote the book on student engagement by welcoming published author into her classroom listen in to how she used their professional insight to help student better understand the writing process introduce various genre and style create an authentic learning experience and more what inspired you to apply to speak at edmodocon i wanted a platform to share my idea with other teacher all over the world in hope it would inspire them to implement something similar in their own classroom i did t want it to be one of those idea i had that no one ever really knew about outside my inner circle and did t have the chance to try out for themselves what s the one thing you hope people take away from your edmodocon presentation i hope teacher realize that you don t have to do everything by the book or just because it is a standard you must cover to prepare for standardized testing think outside the box a little on how you can make learning fun and engaging for your student i hope that they ll give this a shot and see how it can change the culture in your classroom and reignite the love of learning in their student	0
analyzing graph lesson 4 this screen cast walk student through the process of analyzing a graph and answer question lesson 4 in a series of 4	0
patriot and loyalist a powerpoint covering the patriot and loyalist during the revolution era	0
information literacy 101 use first grade the digital literacy 101 program is designed to meet the state and federal requirement for cuber safety and digital literacy education based on the official california model school library standard educational code section 51871 5 for educating student and teacher on the appropriate and ethical use of education technology in the classroom and beyond this program is designed for simple implementation and provides assessment for each grade level that are aligned to california standard the grade level lesson are designed for the teacher student peer tutor and parent concurrently the lesson provide the following section student objective california school library standard 3 1 lead learner instruction assessment question suggested procedure suggested resource extension activity suggested cross-curricular integration	0
graphing equation using a table author philip knieriemen student learn to use a given equation to generate a table of value and then use the table to create a graph of the equation math high school age 14 plus	0
booknotes for lord of the fly about studymode studymode is the world largest learning community for student we we are founded in 1999 on the idea that learning is mean to be social we have built a platform for student to find to create and to share over 100m flashcard and 2m research document on common school subject studymode book note maybe you missed a class or maybe you just can not quite comprehend stream of consciousness style either way studymode com ha you covered when it come to free book note on the most widely read book in high school and college curriculum lord of the fly book note provide professionally written book summary including character plot summary analysis of major theme and a discussion of important theme and symbol you will also find quiz discussion question and suggested reading list to enhance your understanding of the material	0
ng ms-ps-2-2 video on friction normal force net force and gravity fill in background knowledge that student need to access complex ng standard episode 2 of science talk with alex knox walk u through some of the most common force that we see in the world around u	0
past and present comparison with picture past and present community student will use picture representation to compare past and present life in america this powerpoint contains picture that represent long ago and today i show this presentation whole group to my class and we decide which picture show past and present after each picture slide is a chart slide that you can either type what you have seen on the previous picture or have student create the chart in a journal and a you are viewing the slide they are making a list of what they observe the student will identify and compare change in community life over time in term of building job transportation and population essential question how and why have community changed over time essential understanding community change over time for a variety of reason essential skill compare and contrast information classify and interpret information essential knowledge term to know community a place where people live work and play population the number of people living in a community transportation a way of moving people and thing from one place to another the way people live today is different from the way people lived long ago new invention have led to change in building job transportation and population of community over time	0
leading to the war of 1812 video the war of 1812 ha befuddled people for over 200 year how did england and the you s ever get into this fight what could have possibly led to it this video answer those question a it detail the event that led to this strange and confusing war outline of event leading to war of 1812 impressment embargo act of 1807 trade restriction lifted war hawk student will utilize this video to better understand the precise detail of explanation or description pertaining to the early event of the war of 1812 further they will better be able to determine the central idea of this point in history and provide an accurate summary of the event and individual involved in this complex moment in history approximately 5 minute in length	0
lyric training a website where language learner can sing along to song in the target language and increase their vocabulary knowledge	0
pku pedigree homework or in class activity where student create a pedigree based on the information provided and then answer question this could be done in class with an inclusion or regular biology class and a a homework assignment with honor or ap biology	0
trilobite model use this model of a trilobite to bring life to geologic time and fossil	0
possibility with can and could modal one point grammar lesson 3 3 3 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
scratch tutorial 05 create a retro maze game we have all seen maze game like this some challenging and fun others scary and perfect for halloween or an old classic the jump scare well i am going to show you how you can make your very own maze game using scratch if you use them for scare or not that is up to you in this video you will earn all the basic step to create a maze game in under ten minute	0
present and future ability with can modal 2 one point grammar lesson 2 9 1 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
noun clause with if or whether noun clause and related form one point grammar lesson 3 12 7 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
part of the coordinate plane this interactive notebook foldable show student the four quadrant and their location whether or not x or y is positive or negative and how to graph them	0
everyday idiom this presentation give example of idiom and challenge student to find meaning and research others this would be great to pair with an idiom dictionary purchased through scholatic inc	0
google sheet lesson 6 advanced use of image you can do a lot more with your image than simply inserting them onto a spreadsheet this advanced tutorial walk you through the image function and how you can use it to link your image to a single cell you can now use image a you would other data resizing the cell adding a column or row and copying the cell	0
need for pln in the 21st century with the rapid growth of social networking site influencing education policy maker and educator face numerous challenge in order to meet the growing demand and expectation of the learner our learner are born and brought up with technology and they expect the same life style in their education system a educator we must recognize the potential for ameliorating student engagement inside and outside the classroom using these technology facebook ha been used a a tool in education throughout the world with many of it advantage in the daily life of our student there are many risk involved in it edmodo on the other hand is purely a personal learning network pln developed by educator with education in mind it ha a similar interface to facebook and is free of charge it is easy to create the account or a classroom and ha simple functionality it is very safe since an educator can limit who may join the group i e student are invited explicitly	0
